from_city_id  to_city_id
f             i
b             j
d             h
a             j
b             j
f             i
a             f
b             j
a             i
b             k
b             j
h             j
e             k
g             f
c             a
k             b
j             b
l             c
j             a
f             b
d             j
i             j
j             i
e             b
j             b
b             j
j             a
b             c
a             b
k             a
k             f
k             b
a             h
h             f
j             c
l             e
l             c
d             j
c             b
j             c
j             l
j             a
b             k
b             f
a             i
a             i
i             j
j             b
b             f
f             l
f             k
a             i
a             g
g             e
g             d
d             e
k             e
e             j
e             b
f             e
i             j
i             k
i             g
a             b
g             f
f             d
a             f
a             j
a             e
a             i
a             j
b             j
b             g
g             f
g             v
g             b
j             e
d             j
g             i
k             a
b             c
